aqi,pm25,pm10,hour,day_of_week,month,hour_sin,hour_cos,day_sin,day_cos,aqi_pm25_ratio,aqi_pm10_ratio,lag_1h,lag_3h,lag_6h,lag_12h,lag_24h,rolling_mean_6h,rolling_std_6h,rolling_max_6h,rolling_mean_12h,rolling_std_12h,rolling_max_12h,rolling_mean_24h,rolling_std_24h,rolling_max_24h,rolling_mean_72h,rolling_std_72h,rolling_max_72h,target_24h
89.0,39.1,40.9,23,2,12,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,2.2194513715710724,2.124105011933174,89.0,89.0,89.0,90.0,82.0,90.33333333333333,2.422120283278061,95.0,89.66666666666667,1.7752507291974102,95.0,89.20833333333333,2.0637485241701707,95.0,85.27083333333333,4.923843781909858,95.0,79.0
88.0,36.6,38.8,0,3,12,0.0,1.0,0.43388373911755823,-0.900968867902419,2.3404255319148937,2.21105527638191,89.0,89.0,91.0,89.0,84.0,89.83333333333333,2.562550812504402,95.0,89.58333333333333,1.8319554050416667,95.0,89.375,1.7646898976258334,95.0,85.3265306122449,4.887858064897643,95.0,79.0
87.0,31.8,34.2,1,3,12,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,2.6524390243902443,2.4715909090909087,88.0,89.0,95.0,89.0,85.0,88.5,0.8366600265342271,89.0,89.41666666666667,1.9752253419587078,95.0,89.45833333333333,1.5874279625330885,95.0,85.36,4.843510280440684,95.0,79.0
86.0,26.4,29.0,2,3,12,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,3.1386861313868613,2.8666666666666667,87.0,89.0,89.0,89.0,87.0,88.0,1.2649110640674441,89.0,89.16666666666667,2.2087978356537246,95.0,89.41666666666667,1.665941871387068,95.0,85.37254901960785,4.7956679798072885,95.0,80.0
85.0,21.9,24.7,3,3,12,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,3.711790393013101,3.3073929961089497,86.0,88.0,89.0,89.0,88.0,87.33333333333333,1.632993161855516,89.0,88.83333333333333,2.5166114784237092,95.0,89.29166666666667,1.8761469921709077,95.0,85.36538461538461,4.748699909402835,95.0,80.0
83.0,18.9,21.8,4,3,12,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,4.170854271356784,3.6403508771929824,85.0,87.0,89.0,89.0,89.0,86.33333333333333,2.1602468994693234,89.0,88.33333333333333,3.025147128903929,95.0,89.04166666666667,2.2742254613989807,95.0,85.32075471698113,4.714028103215966,95.0,81.0
82.0,22.4,25.9,5,3,12,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,3.5042735042735047,3.0483271375464684,83.0,86.0,89.0,89.0,90.0,85.16666666666667,2.316606713852566,88.0,87.75,3.519426606190853,95.0,88.70833333333333,2.678077939357887,95.0,85.25925925925925,4.691160636792944,95.0,82.0
82.0,22.6,26.3,6,3,12,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,3.4745762711864403,3.0036630036630036,82.0,85.0,88.0,91.0,90.0,84.16666666666667,2.1369760566433045,87.0,87.0,3.7172815091383797,95.0,88.375,2.99001963058846,95.0,85.2,4.668253698396489,95.0,83.0
82.0,28.3,32.1,7,3,12,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,2.7986348122866893,2.4773413897280965,82.0,83.0,87.0,95.0,90.0,83.33333333333333,1.7511900715418518,86.0,85.91666666666667,2.9987371079213223,89.0,88.04166666666667,3.236734353536339,95.0,85.14285714285714,4.645343989331758,95.0,83.0
82.0,41.6,45.3,8,3,12,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,1.9248826291079812,1.7710583153347734,82.0,82.0,86.0,89.0,90.0,82.66666666666667,1.2110601416390308,85.0,85.33333333333333,3.0251471289038405,89.0,87.70833333333333,3.432316579432795,95.0,85.08771929824562,4.622463403835601,95.0,84.0
